BATSMEN,,R,B,4s,6s,SR
SA Yadav,c †Karthik b Russell,59,39,7,2,151.28
E Lewis,c Lynn b Russell,43,28,5,2,153.57
RG Sharma (c),c sub (RK Singh) b Narine,11,11,1,0,100.00
HH Pandya,not out,35,20,4,1,175.00
KH Pandya,c Shubman Gill b Narine,14,11,1,1,127.27
JP Duminy,not out,13,11,0,1,118.18

Bowling,O,M,R,W,Econ,WD,NB
N Rana,2,0,17,0,8.50,1,0
M Prasidh Krishna,4,0,39,0,9.75,1,0
MG Johnson,3,0,25,0,8.33,2,0
SP Narine,4,0,35,2,8.75,0,0
PP Chawla,3,0,35,0,11.66,0,0
Kuldeep Yadav,2,0,17,0,8.50,0,0
AD Russell,2,0,12,2,6.00,1,0

BATSMEN,,R,B,4s,6s,SR
CA Lynn,c Bumrah b McClenaghan,17,13,4,0,130.76
Shubman Gill,c KH Pandya b HH Pandya,7,5,1,0,140.00
RV Uthappa,c Cutting b Markande,54,35,6,3,154.28
N Rana,c Bumrah b HH Pandya,31,27,3,1,114.81
KD Karthik (c) †,not out,36,26,5,1,138.46
AD Russell,c KH Pandya b Bumrah,9,10,1,0,90.00
SP Narine,c Sharma b KH Pandya,5,4,1,0,125.00
PP Chawla,not out,0,0,0,0,-

Bowling,O,M,R,W,Econ,WD,NB
MJ McClenaghan,4,0,30,1,7.50,0,0
JJ Bumrah,4,0,34,1,8.50,0,0
HH Pandya,4,0,19,2,4.75,1,0
KH Pandya,3,0,29,1,9.66,0,0
M Markande,3,0,25,1,8.33,0,0
BCJ Cutting,2,0,23,0,11.50,0,0

